id,company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,stockgrantvalue,bonus
231,Amazon,Software Engineer,246000,"Cambridge, EN, United Kingdom",13,8,109000,137000,0
232,Google,Software Engineer,650000,"San Jose, CA",10,3,0,0,0
233,Microsoft,Software Engineer,300000,"San Francisco, CA",10,2,220000,40000,40000
234,LinkedIn,Software Engineer,300000,"Sunnyvale, CA",8,4,0,0,0
235,Uber,Software Engineer,450000,"New York, NY",6,4,175000,230000,40000
236,Apple,Software Engineer,185000,"Cupertino, CA",2,1.5,120000,40000,25000
237,Uber,Software Engineer,240000,"Palo Alto, CA",8,0,150000,90000,0
238,Expedia,Software Engineer,80000,"London, EN, United Kingdom",8,3,75000,79000,9000
239,Amazon,Software Engineering Manager,350000,"Seattle, WA",12,1,160000,0,0
240,Twitter,Software Engineer,225000,"San Francisco, CA",5,2,155000,0,0
241,Dropbox,Software Engineer,430000,"Seattle, WA",9,3,170000,230000,30000
242,Netflix,Software Engineer,325000,"Los Gatos, CA",1.5,0,325000,0,0
243,Amazon,Software Engineer,218000,"Seattle, WA",7,4,145000,0,0
244,microsoft,Software Engineer,147000,"Bellevue, WA",3,0.5,107000,30000,10000
245,GE Digital,Software Engineer,124000,"New Orleans, LA",12,2,114000,0,10000
246,Amazon,Software Engineer,165000,"New York, NY",0,0,123000,5000,39000
247,Facebook,Product Manager,720000,"Menlo Park, CA",10,2,0,0,0
248,Qualcomm,Software Engineer,210000,"San Diego, CA",14,10,0,0,0
249,CA Technologies,Software Engineer,170000,"Santa Clara, CA",37,9,0,0,0
250,Uber,Software Engineer,481000,"San Francisco, CA",7,2,0,0,0
251,Uber,Software Engineer,190000,"San Francisco, CA",0.8,0,120000,50000,20000
252,Pinterest,Software Engineer,471000,"San Francisco, CA",8,2,209000,262000,0
253,Microsoft,Software Engineer,188000,"Bellevue, WA",10,3,148000,20000,18000
254,Google,Software Engineer,320000,"Mountain View, CA",6.75,0,170000,125000,26000
255,Yahoo,Software Engineer,190000,"Sunnyvale, CA",4,1,149000,18500,22500
256,Google,Software Engineer,480000,"Mountain View, CA",6,2,170000,280000,30000
257,Amazon,Software Engineer,308000,"Seattle, WA",3,1,0,0,0
258,Amazon,Software Engineer,270000,"Irvine, CA",20,2,160000,18000,100000
259,Amazon,Product Manager,315000,"Sunnyvale, CA",16,5,185000,130000,0
260,Google,Software Engineer,260000,"Pittsburgh, PA",6,6,0,0,0
261,Microsoft,Product Manager,148000,"Redmond, WA",0,0,108000,120000,10000
262,Cisco,Software Engineer,180000,"San Jose, CA",5,1,140000,0,40000
263,Starbucks,Software Engineer,120000,"Seattle, WA",5,2,110000,4000,11000
264,Airbnb,Software Engineering Manager,650000,"San Francisco, CA",13,1,0,0,0
265,GE Digital,Software Engineer,140000,"San Ramon, CA",4,4,130000,0,10000
266,Amazon,Software Engineer,172000,"Seattle, WA",12,2,142000,30000,0
267,Uber,Software Engineer,325000,"San Francisco, CA",7,2,161000,140000,25000
268,Microsoft,Software Engineer,266000,"Redmond, WA",13,1,190000,38000,38000
269,Amazon,Product Manager,194000,"Seattle, WA",6,1,148000,105000,70000
270,Microsoft,Software Engineer,150000,"Seattle, WA",4,0,118000,5000,12000
271,Google,Software Engineer,640000,"Mountain View, CA",11,4,210000,380000,50000
272,Toyota Research Institute,Software Engineer,189000,"Boston, MA",0,0,140000,0,49000
273,Microsoft,Software Engineer,230000,"Bellevue, WA",3,0,140000,75000,15000
274,Apple,Software Engineer,150000,"Cupertino, CA",0,0,0,0,0
275,Oracle,Software Engineer,128000,"Santa Clara, CA",9,3,123000,5000,0
276,Apple,Software Engineer,176000,"Cupertino, CA",3,1,126000,25000,20000
277,Activision,Software Engineer,150000,"Los Angeles, CA",15,5,150000,0,0
278,SAP,Software Engineer,205000,"Palo Alto, CA",10,0,185000,0,20000
279,Apple,Software Engineer,275000,"Cupertino, CA",14,1,180000,100000,25000
280,PlayStation,Software Engineer,160000,"San Francisco, CA",3,1,130000,0.001,30000
281,Amazon,Software Engineer,207000,"Seattle, WA",5,2,134000,73000,0
282,Squarespace,Software Engineer,162000,"New York, NY",3,2,142000,20000,0
283,Intel,Software Engineer,170000,"Folsom, CA",7,6,0,0,0
284,Amazon,Product Manager,164000,"Seattle, WA",6,1.5,0,0,0
285,Amazon,Software Engineer,229000,"Seattle, WA",12,1,156000,12000,61000
286,Amazon,Software Engineer,707000,"Seattle, WA",37,2,160000,347000,200000
287,Amazon,Software Engineer,345000,"Seattle, WA",8,7,155000,190000,0
288,Intuit,Software Engineer,160000,"San Diego, CA",3,0,130000,17000,13000
289,Facebook,Software Engineer,535000,"Menlo Park, CA",18,2,215000,830000,50000
290,Linkedin,Software Engineer,270000,"Sunnyvale, CA",5,0,175000,300000,17500
291,Amazon,Software Engineer,240000,"Seattle, WA",3,6,0,0,0
292,Google,Software Engineer,225000,"New York, NY",4,2,130000,60000,25000
293,Microsoft,Software Engineer,210000,"Seattle, WA",10,10,160000,30000,20000
294,Blackbaud,Software Engineer,72000,"Charleston, SC",3,3,72000,0,0
295,Amazon,Software Engineer,300000,"Seattle, WA",3,1,0,0,0
296,LinkedIn,Product Manager,300000,"Mountain View, CA",11,3,188000,50000,30000
297,Salesforce,Software Engineer,163000,"San Francisco, CA",0,0,135000,0,0
298,Oracle,Software Engineer,320000,"Seattle, WA",14,1,0,0,0
299,Amazon,Product Manager,330000,"Seattle, WA",14,2,160000,170000,0
300,CA Technologies,Product Manager,250000,"New York, NY",38,8,200000,0,50000
301,Microsoft,Product Manager,174000,"Seattle, WA",11,3,132000,22000,20000
302,Citadel,Software Engineer,250000,"New York, NY",3,0,175000,0,75000
303,Amazon,Software Engineer,975000,"Seattle, WA",24,7,160000,815000,0
304,Intel,Software Engineer,161000,"Hillsboro, OR",5,4,130000,22000,19000
305,Bloomberg,Software Engineer,207750,"New York, NY",1.5,0,175000,0,25000
306,Apple,Software Engineer,200000,"Cupertino, CA",2,0,125000,50000,25000
307,Microsoft,Product Manager,357000,"Redmond, WA",13,13,201000,100000,50000
308,Pinterest,Software Engineer,255000,"San Francisco, CA",2,2,0,0,0
309,Amazon,Software Engineer,280000,"San Francisco, CA",4,4,16100.000000000002,5100,6800
310,Amazon,Software Engineer,216000,"Seattle, WA",3,0,145000,216000,60000
311,ThoughtWorks,Software Engineer,125000,"San Francisco, CA",8,2,125000,0,0
312,Intel,Software Engineer,120000,"Santa Clara, CA",5,5,0,0,0
313,Yandex,Software Engineer,42000,"Moscow, MC, Russia",12,10,36000,0,8000
314,Amazon,Software Engineer,230000,"Seattle, WA",5,5,130000,100000,0
315,Amazon,Product Manager,277000,"Seattle, WA",13,5.5,156000,121000,0
316,Google,Software Engineer,230000,"Seattle, WA",3.5,2.5,124000,79500,26600
317,Facebook,Software Engineer,230000,"London, EN, United Kingdom",5,1,134000,69000,27000
318,Microsoft,Software Engineer,229000,"Seattle, WA",8.5,8.5,170000,29000,29000
319,Microsoft,Product Manager,208000,"Seattle, WA",10,10,155000,25000,28000
320,Amazon,Software Engineer,160000,"Seattle, WA",6,2,0,0,0
321,AWS,Software Engineer,305000,"London, EN, United Kingdom",20,4,250000,50000,50000
322,Amazon,Software Engineer,185000,"Seattle, WA",6,1,134000,30000,21000
323,Facebook,Software Engineer,470000,"Menlo Park, CA",7,3,215000,0,0
324,Microsoft,Software Engineer,150000,"Bellevue, WA",0,0,107000,30000,10000
325,Microsoft,Product Manager,600000,"Seattle, WA",15,10,210000,350000,150000
326,vmware,Software Engineer,245000,"Palo Alto, CA",10,1,168000,160000,28560
327,Amazon,Software Engineer,240000,"Seattle, WA",16,8,0,0,0
328,Twitter,Software Engineer,397000,"San Francisco, CA",5,5,202000,182000,15000
329,Google,Software Engineering Manager,749000,"Mountain View, CA",28,3.5,247000,430000,70000
330,Amazon,Software Engineer,190000,"Seattle, WA",9,3,115000,75000,0
331,Google,Software Engineer,143000,"Cambridge, EN, United Kingdom",0,0,105000,22500,16000
332,Amazon,Product Manager,247000,"Seattle, WA",5,5,122000,125000,0
333,Amazon,Product Manager,245000,"Vancouver, BC, Canada",25,3,162000,83000,0
334,Amazon,Product Manager,300000,"Seattle, WA",15,3,160000,140000,0
335,Microsoft,Software Engineer,210000,"Redmond, WA",11,11,164000,24000,21000
336,Google,Software Engineer,315000,"San Francisco, CA",12,1.5,191000,78000,60000
337,Apple,Software Engineer,320000,"San Francisco, CA",14,7,0,0,0
338,Symantec,Software Engineer,125000,"Culver City, CA",2,2,105000,10000,10000
339,Apple,Software Engineer,205000,"Cupertino, CA",8,4,135000,60000,10000
